index,Vmag,Bmag
94,-13.88684118,-13.63717398
23,-12.58273347,-11.95819862
19,-11.88829866,-10.74180835
17,-11.78006868,-11.17395923
71,-11.69446263,-10.27340525
4,-11.54906465,-10.80735216
33,-11.18926594,-10.03440156
87,-11.06051201,-9.850259391
26,-11.03588129,-10.24204631
2,-10.98305221,-10.16956672
104,-10.92679069,-8.868328522
28,-10.88760601,-10.06280332
61,-10.82032175,-10.05796252
134,-10.78404981,-9.540576037
70,-10.60920578,-9.442408506
73,-10.60465732,-9.843952805
9,-10.58965058,-9.298697013
80,-10.56702673,-9.306595491
98,-10.44186072,-9.778486331
72,-10.44132386,-9.442408506
123,-10.38028034,-9.714948803
97,-10.29281217,-9.554252123
42,-10.14275703,-9.315919234
138,-10.09519846,-9.105170265
64,-10.01789778,-9.278542362
133,-9.956039753,-8.902618179
21,-9.87384491,-8.627964202
68,-9.712770184,-6.568829292
67,-9.641230195,-6.880527817
76,-9.576377974,-8.391789846
45,-9.548941832,-8.079603269
96,-9.498483213,-8.6525741
53,-9.485296773,-8.73676968
47,-9.453027396,-8.433110853
32,-9.433431829,-8.056164223
115,-9.423130346,-8.432954443
30,-9.375895897,-7.976716274
127,-9.336482678,-7.53933395
10,-9.229014089,-7.382224876
38,-9.219438334,-7.270716715
51,-9.200966643,-7.466827134
122,-9.174844557,-9.714948803
34,-9.16911026,-8.056164223
20,-9.059253338,-7.882122318
16,-9.054002677,-7.523539036
129,-9.046818108,-6.902256187
13,-9.043457322,-2.945644324
25,-9.030285869,-7.154458251
124,-9.025451182,-7.53933395
8,-8.979049879,-6.537999437
35,-8.97110545,-10.03440156
114,-8.970383407,-6.900108341
5,-8.969890644,-4.011025835
132,-8.956796755,-6.595016569
3,-8.952769372,-3.224693969
131,-8.951845896,-7.819215916
22,-8.945734133,-7.360079667
78,-8.940417757,-8.017976762
40,-8.906260272,-6.022521169
125,-8.904369662,-9.54208304
11,-8.84199732,-5.902537975
12,-8.831096177,-3.354204276
117,-8.815218406,-6.315305507
18,-8.806753888,-6.887451944
75,-8.788064944,-7.584363662
29,-8.787636696,-5.928796382
116,-8.786145925,-7.66612406
135,-8.777895881,-6.312732512
48,-8.775630316,-7.79990843
105,-8.771346768,-8.031776688
103,-8.76558542,-8.031776688
106,-8.743460916,-7.861516875
110,-8.741995789,-5.848921824
37,-8.717322933,-6.674713564
15,-8.706099257,-4.400227542
107,-8.677931954,-7.861516875
90,-8.632065268,-7.536027357
79,-8.626346988,-7.286197329
24,-8.616379182,-7.360079667
112,-8.610569314,-5.349280561
59,-8.586882062,-6.97986236
74,-8.564796416,-7.286197329
63,-8.545514644,-6.931219677
81,-8.500560297,-7.060330693
85,-8.455118998,-4.56467177
31,-8.448385858,-6.912869218
82,-8.432782588,-6.705257254
55,-8.413259042,-7.612181278
44,-8.391667369,-7.121062164
95,-8.314060818,-6.910860197
100,-8.278657201,-6.505323722
88,-8.277373951,-5.075658507
14,-8.255000365,-3.158821324
56,-8.229454907,-5.449398557
136,-8.226402058,-2.992708983
39,-8.203113913,-5.388307016
49,-8.183671123,-6.641134725
69,-8.173997324,-6.786644654
65,-8.058324077,-6.636816851
118,-8.032309114,-5.689140488
92,-7.982391073,-6.030165927
102,-7.942677445,-3.796960775
89,-7.896748762,-2.808923298
130,-7.895970959,2.255618207
113,-7.895967475,-3.590656896
99,-7.884383977,-6.592616248
52,-7.773404266,-6.827854255
58,-7.767424529,-7.612181278
62,-7.753319392,-6.636816851
91,-7.733990833,-8.020547033
137,-7.567091138,-2.992708983
109,-7.562169937,-3.422594709
77,-7.391863365,-8.017976762
84,-7.389158334,-7.332825272
50,-7.360795372,-5.919419578
66,-7.293428471,-5.593686789
54,-7.22437509,-5.683167977
60,-7.202225335,-5.002002326
57,-7.179416562,-5.951245269
86,-6.988743226,-3.758172077
83,-6.893778366,-7.790514174